City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Brookings,US,40.17,overcast clouds,44.3114,-96.7984,Quality Inn
College,US,32.47,clear sky,64.8569,-147.8028,Best Western Plus Pioneer Park Inn
Sona,IT,54.52,clear sky,45.4388,10.8255,Al Bosco
Stanley,GB,48.07,few clouds,54.868,-1.6985,Hotel 52
I-N-Salah,DZ,68.58,clear sky,27.1935,2.4607,باجودة
Gimbi,ET,59.97,moderate rain,9.1667,35.8333,Grand hotel
Ilhabela,BR,74.88,clear sky,-23.7781,-45.3581,Vila Kebaya
Bikenibeu Village,KI,84.16,overcast clouds,1.3673,173.1241,Otintaai Hotel
Tocopilla,CL,70.59,few clouds,-22.092,-70.1979,hotel Isidora
Plaza Huincul,AR,57.69,broken clouds,-38.926,-69.2086,Antu Malal Aparts & Suites
Cascais,PT,65.55,broken clouds,38.6979,-9.4215,Cascais Hotel
Bredasdorp,ZA,61.97,clear sky,-34.5322,20.0403,Victoria Hotel
Tabas,IR,66.78,light rain,33.5959,56.9244,هتل میقات الرضا
Jamestown,US,80.24,scattered clouds,42.097,-79.2353,DoubleTree Jamestown
Machachi,EC,56.17,light rain,-0.5,-78.5667,Valle Azul
Urangan,AU,68.25,clear sky,-25.3,152.9,Ramada
Yeniseysk,RU,33.28,overcast clouds,58.4497,92.1703,Енисейский
Natal,BR,82.62,scattered clouds,-5.795,-35.2094,Natal Palace Hotel
Leer,DE,53.94,broken clouds,53.2316,7.461,Hotel Hafenspeicher
Parry Sound,CA,37.45,light rain,45.3501,-80.033,Mid Town Hotel
Bereznik,RU,32.47,overcast clouds,62.8551,42.7072,Отель Прибрежный
Sarichioi,RO,44.82,few clouds,44.95,28.85,Rasvet
Bel Ombre,SC,82.24,few clouds,-4.6167,55.4167,Villa La Cachette
Carlsbad,US,87.33,clear sky,33.1581,-117.3506,Carlsbad Inn Beach Resort
Antonio Enes,MZ,72.95,clear sky,-16.2325,39.9086,Hotel Quirimbas
Joshimath,IN,43.95,overcast clouds,30.5667,79.5667,Snow Crest Hotel
Keflavik,IS,30.63,scattered clouds,64.0049,-22.5624,Núpan Deluxe
Hassi Messaoud,DZ,62.46,clear sky,31.6804,6.0729,AMC
Nova Sintra,CV,72.21,clear sky,14.8667,-24.7167,Residência Ka Dencho
Isangel,VU,82.51,broken clouds,-19.55,169.2667,Hidden Treasure Bungalow
Mogadishu,SO,81.48,scattered clouds,2.0371,45.3438,Villa Rays Restaurant & Hotel
Abra Pampa,AR,59.58,clear sky,-22.7205,-65.697,Residencia El Norte
West Island,CC,80.58,few clouds,-12.1568,96.8225,Cocos Village Bungalows
San Sebastian De La Gomera,ES,66.56,clear sky,28.0916,-17.1133,Hotel Villa Gomera
Yuzhno-Kurilsk,RU,38.1,overcast clouds,44.0306,145.8556,Дом дружбы
Haikou,CN,78.93,broken clouds,20.0458,110.3417,Ming Yue Xin Hotel
Port Mathurin,MU,78.89,few clouds,-19.6833,63.4167,Escale Vacances
Xianshuigu,CN,42.8,clear sky,38.985,117.3828,天津科技工作者之家
Mamuju,ID,76.44,broken clouds,-2.6748,118.8885,Hotel d'Maleo
Valparaiso,CL,66.76,clear sky,-33.0393,-71.6273,Ibis Hotel
Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Ouadada
Quellon,CL,52.83,few clouds,-43.1167,-73.6167,Aliwen
Sandnessjoen,NO,41.41,overcast clouds,66.0217,12.6316,Scandic Syv Søstre
Whitehorse,CA,39.97,broken clouds,60.7161,-135.0538,Town & Mountain Hotel
Sao Fidelis,BR,77.59,moderate rain,-21.6461,-41.7469,Hotel São José
Griffith,US,49.84,overcast clouds,41.5284,-87.4237,Quality Inn & Suites Hammond
Kill Devil Hills,US,75.22,clear sky,36.0307,-75.676,Mariner Days Inn & Suites
Ghat,LY,64.63,few clouds,24.9647,10.1728,فندق تاسيلي
Tralee,IE,41.97,light rain,52.2704,-9.7026,The Ashe Hotel
Bor,RU,40.93,broken clouds,56.3567,44.0669,Олимп гостиница
Kudymkar,RU,38.66,overcast clouds,59.0173,54.656,Парма
Heinola,FI,34.27,overcast clouds,61.2056,26.0381,Tukkijätkä
Coquimbo,CL,64.13,few clouds,-29.9533,-71.3436,Hotel Iberia
Tarko-Sale,RU,33.73,overcast clouds,64.9225,77.785,Вынгапур
Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Hotel Prainha
Gadzhiyevo,RU,31.64,overcast clouds,69.2551,33.3362,Оазис
Dwarka,IN,76.66,broken clouds,22.2394,68.9678,Hotel Nand Nandan
Gulf Shores,US,81.28,scattered clouds,30.246,-87.7008,Beachside Resort
Fisterra,ES,53.42,clear sky,42.9049,-9.2629,Hotel Temático do Banco Azul
Portland,US,73.92,broken clouds,45.5234,-122.6762,The Hoxton
Al Ain City,AE,74.55,overcast clouds,24.1917,55.7606,Al ain sanayya restaurant
Cockburn Town,TC,78.76,light rain,21.4612,-71.1419,The Salt Raker Inn
Kiunga,PG,71.42,overcast clouds,-6.1219,141.2906,Airport Lodge
Clearlake,US,78.82,overcast clouds,38.9582,-122.6264,Best Western El Grande Inn
N'Zeto,AO,78.21,overcast clouds,-7.2312,12.8666,Longe LUVUVAMO
Beloyarskiy,RU,34.05,overcast clouds,63.7119,66.6722,Сибирь
Natchitoches,US,76.98,heavy intensity rain,31.7668,-93.1335,College Inn
Tazacorte,ES,65.16,scattered clouds,28.629,-17.9293,App Leyma
Hammerfest,NO,30.65,broken clouds,70.6634,23.6821,Thon Hotel Hammerfest
Puerto San Jose,GT,90.52,few clouds,13.9256,-90.8244,Martita
Fortuna,US,72.93,clear sky,40.5982,-124.1573,Comfort Inn & Suites Redwood Country
Daru,PG,80.56,overcast clouds,-9.0763,143.2092,Kuki Hotel
Okahandja,NA,73.38,broken clouds,-21.9833,16.9167,Okahandja Country Hotel
Argo,GR,52.43,broken clouds,37.6333,22.7333,Apollon Hotel
'Ain El Turk,DZ,56.08,clear sky,35.7438,-0.7693,Hôtel Chems
Ballina,AU,66.61,overcast clouds,-28.8667,153.5667,Ballina Manor Boutique Hotel
Mabaruma,GY,75.2,broken clouds,8.2,-59.7833,Hotel Broost
Bargaal,SO,80.17,broken clouds,11.2864,51.0773,Makka Hotel Bargaal
Szczebrzeszyn,PL,46.54,overcast clouds,50.695,22.9795,Perła Roztocza
Barcelos,PT,52.88,overcast clouds,41.5388,-8.6151,Hotel Dom Nuno
Jiujiang,CN,60.8,broken clouds,29.7333,115.9833,九江信华建国酒店
