City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Ostersund,SE,31.6,fog,63.1792,14.6357,Hotell Stortorget
Waingapu,ID,77.88,light rain,-9.6567,120.2641,HOTEL SANDLEWOOD
Terrace,CA,46.31,overcast clouds,54.5163,-128.6035,Sandman Hotel Terrace
Betio Village,KI,84.24,overcast clouds,1.358,172.9211,Seaman Hostel
Puerto Aysen,CL,52.68,clear sky,-45.4,-72.7,Hostal Dendal
Prineville,US,72.91,clear sky,44.2999,-120.8345,Best Western
Pak Phanang,TH,72.41,few clouds,8.3511,100.202,Pak Phanang Hotel
Tra Mhor,IE,44.64,scattered clouds,52.1624,-7.1524,Majestic Hotel
Concepcion,CL,66.0,clear sky,-36.827,-73.0498,Hotel One (ex-Biobio)
Kenai,US,33.15,overcast clouds,60.5544,-151.2583,Beluga Lookout Hotel
Smithers,CA,43.12,light intensity shower rain,54.7804,-127.1743,Sunshine Inn Hotel
Atasu,KZ,50.38,scattered clouds,48.6814,71.6433,Диана
Tangalle,LK,78.26,overcast clouds,6.024,80.7911,The Ocean Breeze Villa
Lethem,GY,83.26,broken clouds,3.3803,-59.7968,Kanuku Lodge Hotel
San Fernando De Apure,VE,93.49,overcast clouds,7.8878,-67.4724,Hotel Plaza
Wuwei,CN,47.32,clear sky,37.9281,102.6414,云翔国际酒店
Claremont,US,87.91,clear sky,34.0967,-117.7198,Hotel Casa 425 + Lounge
Malchin,DE,44.92,broken clouds,53.7333,12.7833,Hotel Marcus
Morlenbach,DE,54.28,overcast clouds,49.5992,8.7347,Schimbacher Hof
San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Decameron Isleño
Kushiro,JP,43.75,fog,42.975,144.3747,ANAクラウンプラザホテル釧路
Tondano,ID,69.89,overcast clouds,1.3038,124.9112,Hotel Tou Dano
Alotau,PG,75.85,overcast clouds,-10.3069,150.4462,Alotau International Hotel
Taco Pozo,AR,90.01,few clouds,-25.6167,-63.2833,Hospedaje El Camionero
Plau Am See,DE,45.59,overcast clouds,53.4582,12.2625,Hotel Sajons
Lazaro Cardenas,MX,86.68,clear sky,17.9583,-102.2,Hotel Sol del Pacífico
Balatonboglar,HU,53.94,scattered clouds,46.7752,17.6441,Simply Szálló Balatonboglár
Gillette,US,50.11,clear sky,44.2911,-105.5022,Montgomery Hotel
General Villegas,AR,57.09,few clouds,-35.0328,-63.0125,Rucalén
Grand-Popo,BJ,82.26,broken clouds,6.2804,1.8225,Hotel Mon Secours
Port Augusta,AU,70.95,overcast clouds,-32.5,137.7667,Hotel Commonwealth
Mar Del Plata,AR,59.09,broken clouds,-38.0023,-57.5575,Hotel 3 de Abril
Huangshan,CN,55.51,clear sky,29.7114,118.3125,丰华旅馆
Zaragoza,ES,64.02,clear sky,41.6561,-0.8773,Hostal Plaza Boutique
Greymouth,NZ,59.25,overcast clouds,-42.4667,171.2,Recreation Hotel
Rehoboth,NA,73.71,broken clouds,-23.3167,17.0833,Suidwes Hotel
Maumere,ID,78.06,broken clouds,-8.6199,122.2111,Bogor
Volchansk,RU,42.44,overcast clouds,59.9378,60.081,Гостиница ВМЗ
Qarauyl,KZ,49.86,overcast clouds,48.9451,79.255,Гомтиница Ер-нур
Gizo,SB,82.15,light rain,-8.103,156.8419,Gizo Hotel
Kupino,RU,37.27,overcast clouds,54.3663,77.2981,"Гостиница"" Сибирь"""
Kapit,MY,73.83,overcast clouds,2.0167,112.9333,Hotel Haip Choing
Camana,PE,73.87,clear sky,-16.6228,-72.7111,Caja Arequipa
La Sarre,CA,30.65,light snow,48.8002,-79.1996,Motel le Bivouac
Ternate,ID,79.09,overcast clouds,0.8,127.4,Hotel & Resto
Ivdel',RU,43.61,overcast clouds,60.6911,60.4206,гостиница Ивдель
Aztec,US,63.21,clear sky,36.8222,-107.9929,Step Back Inn
Yaren,NR,83.34,overcast clouds,-0.5472,166.916,Aiwo Hotel
Ajdabiya,LY,59.36,clear sky,30.7554,20.2263,فندق المدينة
Atar,MR,85.98,few clouds,20.5169,-13.0499,Hôtel al-Waha
Poso,ID,76.15,broken clouds,-1.3959,120.7524,Nusantara
Mahina,PF,85.77,broken clouds,-17.5065,-149.489,Motu Martin
Tinajo,ES,65.28,light rain,29.0788,-13.7081,Villas Tinajo
Island Harbour,GB,53.98,overcast clouds,50.724,-1.2758,Premier Inn
Dungarvan,IE,43.9,scattered clouds,52.0881,-7.6253,Lawlor’s Hotel
Mata-Utu,WF,83.62,light rain,-13.2816,-176.1745,Gîte Oceania
Bintulu,MY,77.41,few clouds,3.1667,113.0333,Bakun Inn
Diego De Almagro,CL,73.98,clear sky,-26.3667,-70.05,Residencial Hambyll
Saldanha,ZA,59.05,clear sky,-33.0117,17.9442,Hoedjesbaai
Muynoq,UZ,57.76,broken clouds,43.7683,59.0214,Lala
Al Jubayl,SA,68.36,overcast clouds,27.0112,49.6583,Sharq
Lira,UG,70.32,broken clouds,2.235,32.9097,Pauline Hotel
Mosjoen,NO,34.32,overcast clouds,65.836,13.1908,Fru Haugans Hotel
Yuzhne,UA,49.48,clear sky,46.6221,31.1013,Еллада
Sechura,PE,81.03,scattered clouds,-5.5569,-80.8222,Maximus Inn
Beitbridge,ZW,71.82,clear sky,-22.2167,30.0,Beitbridge Inn & Casino
Bodo,NO,38.95,scattered clouds,67.28,14.405,Zefyr hotell
Sirjan,IR,55.31,light rain,29.452,55.6814,خانه معلم سیرجان
Torbali,TR,54.63,overcast clouds,38.1519,27.3622,Metropolis
Asekeyevo,RU,41.07,scattered clouds,53.5742,52.7972,Тополя
Cuyo,PH,80.92,overcast clouds,10.8525,121.0086,Feroland Hotel
Gemena,CD,69.89,light rain,3.25,19.7667,La Joie
Kuala Terengganu,MY,78.75,few clouds,5.3302,103.1408,Uncle Homestay
Coronel Dorrego,AR,52.83,clear sky,-38.7187,-61.2873,Hotel América
Pleiku,VN,68.59,clear sky,13.9833,108.0,Green Bamboo - Tre Xanh Plaza Hotel
Rizokarpaso,CY,54.81,clear sky,35.6,34.375,Villa Carparis
Jianshui,CN,65.89,scattered clouds,23.6363,102.8264,阳阳大酒店
Bandon,IE,42.39,broken clouds,51.7469,-8.7425,The Munster Arms Hotel
Balod,IN,74.23,overcast clouds,20.73,81.2047,Towri Dharmshala
Galle,LK,82.02,overcast clouds,6.0367,80.217,Jungle Hostel Villa
Mikuni,JP,52.41,overcast clouds,36.2171,136.1519,三国オーシャンリゾート＆ホテル
Lashio,MM,67.41,few clouds,22.9333,97.75,Golden Kaniri Hotel
Zarand,IR,60.24,overcast clouds,30.8127,56.564,هتل روشن
Makassar,ID,75.25,scattered clouds,-5.14,119.4221,Pondok Dahlia House
Surgut,RU,37.58,fog,61.25,73.4167,Факел
Abilene,US,69.08,clear sky,32.4487,-99.7331,DoubleTree by Hilton Abilene Downtown Convention Center
Asosa,ET,65.17,overcast clouds,10.0667,34.5333,Africa Hotel
San Vicente De Canete,PE,73.74,scattered clouds,-13.0751,-76.3835,Hotel Colibrí
Itaituba,BR,91.56,few clouds,-4.2761,-55.9836,TG Hotel
Ulsteinvik,NO,41.31,broken clouds,62.3432,5.8487,Quality Hotel Ulstein
Tsiombe,MG,69.76,clear sky,-25.3,45.4833,Hôtel Littoral Tsihombe
Ploudalmezeau,FR,53.98,overcast clouds,48.5333,-4.65,Hostellerie du Castel
Yelizovo,RU,33.94,scattered clouds,53.1873,158.3805,Николина Усадьба
Brisas De Zicatela,MX,88.32,clear sky,15.8369,-97.0419,Casa de Olas
Ketchikan,US,43.34,moderate rain,55.3422,-131.6461,Cape Fox Lodge
Usevia,TZ,66.09,overcast clouds,-7.1,31.2333,Mboje Lodge
Pisek,CZ,49.28,scattered clouds,49.3088,14.1475,Bilá růže
Vila Franca Do Campo,PT,59.88,overcast clouds,37.7167,-25.4333,Vinha d'Areia Beach Hotel
Rzepin,PL,40.17,scattered clouds,52.3464,14.8323,Hotel Park
Hovd,MN,39.4,scattered clouds,48.0056,91.6419,Khovd hotel
Port Macquarie,AU,65.07,broken clouds,-31.4333,152.9167,The Observatory
Yuncheng,CN,53.96,broken clouds,35.0231,110.9928,运城宾馆
Shimoda,JP,64.27,overcast clouds,34.6667,138.95,ホテルウラガ
Edmonton,CA,47.57,overcast clouds,53.5501,-113.4687,DoubleTree
Al Kharijah,EG,65.57,overcast clouds,25.4514,30.5464,Kharga Hotel
Tafuna,AS,87.75,scattered clouds,-14.3358,-170.72,Tradewinds
